(Brazzaville) ;;Country;Subject Descriptor;Units;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan ;Afghanistan;Afghanistan;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;8,692;0,671;11,83;5,361;13,34;3,863;20,585;8,438;6,479;13,968;3,933;1,282;2,041;2,984;3,982;4,977;6,016;6,008
Albania ;Albania;Afghanistan;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;22,203;23,116;24,019;24,861;25,631;26,349;27,032;27,708;28,398;29,105;29,825;30,55;31,279;32,007;32,739;33,471;34,203;34,935;35,667
Algeria ;Algeria;Albania;Gross domestic product, constant prices;Percent change;2,684;5,7;2,9;1,1;2;-1,5;5,6;-0,8;-1,4;9,8;-10;-28;-7,2;9,6;9,4;8,9;9,1;-10,838;9,009;13,501;6,625;7,94;4,231;5,74;5,673;5,773;5,431;5,905;7,536;3,354;3,707;2,545;1,624;1,393;1,854;2,7;3,4;4;4,25;4,25;4,25
Angola ;Angola;Albania;Population;Persons;2,671;2,724;2,781;2,838;2,897;2,957;3,016;3,076;3,138;3,199;3,197;3,141;3,11;3,095;3,033;3,037;3,063;3,088;3,061;3,1;3,058;3,068;3,06;3,042;3,025;3,004;2,981;2,955;2,927;2,898;2,87;2,843;2,816;2,788;2,774;2,76;2,746;2,732;2,719;2,705;2,691
Argentina;Antigua and Barbuda;Algeria;Gross domestic product, constant prices;Percent change;-5,4;3;6,4;5,4;5,6;5,6;-0,2;-0,7;-1,9;4,8;0,8;-1,2;1,6;-2,102;-0,9;3,848;3,8;1,1;5,098;3,2;3,8;3;5,6;7,2;4,3;5,9;1,684;3,373;2,36;1,632;3,616;2,828;2,608;2,8;3,8;3,011;3,881;3,899;3,74;3,595;3,49
Armenia ;Argentina;Algeria;Population;Persons;18,666;19,246;19,864;20,516;21,175;22,2;22,8;23,4;24,1;24,7;25,022;25,643;26,271;26,894;27,496;28,06;28,566;29,045;29,507;29,965;30,506;30,954;31,414;31,885;32,366;32,855;33,351;33,858;34,591;35,268;35,978;36,717;37,495;37,9;39,5;40,29;41,056;41,753;42,463;43,185;43,919
Australia ;Armenia;Angola;Gross domestic product, constant prices;Percent change;2,406;-4,4;0;4,2;6;3,5;2,9;4,083;6,129;0,042;-3,45;0,991;-5,838;-23,983;1,339;15;13,544;7,274;4,691;2,181;3,055;4,206;13,666;5,248;10,879;18,262;20,735;22,593;13,817;2,413;3,408;3,919;5,155;6,804;4,796;3,488;3,524;3,771;4,248;4,658;5,178
Austria ;Australia;Angola;Population;Persons;8,388;8,615;8,843;9,074;9,314;10,496;10,795;11,071;11,371;11,683;11,995;12,355;12,725;13,107;13,5;13,905;14,323;14,752;15,195;15,651;16,12;16,604;17,102;17,615;18,143;18,688;19,248;19,826;20,421;21,033;21,664;22,314;22,984;23,673;24,383;25,115;25,868;26,644;27,444;28,267;29,115
Azerbaijan ;Austria;Antigua and Barbuda;Gross domestic product, constant prices;Percent change;7,491;3,337;-0,962;6,244;10,387;7,507;8,228;7,144;5,419;6,094;2,764;2,656;0,999;5,475;6,348;-5,05;6,099;6,058;5,163;4,397;3,417;-4,404;2,534;5,706;3,236;7,214;12,715;7,07;1,542;-10,666;-8,528;-1,867;3,609;1,537;4,206;2,15;2,13;2,4;2,7;2,7;2,7
Bahamas ;Azerbaijan;Antigua and Barbuda;Population;Persons;0,068;0,068;0,067;0,066;0,065;0,064;0,063;0,062;0,061;0,06;0,06;0,061;0,062;0,063;0,065;0,067;0,068;0,07;0,072;0,074;0,076;0,077;0,078;0,079;0,079;0,08;0,081;0,082;0,083;0,084;0,085;0,086;0,086;0,087;0,088;0,089;0,09;0,091;0,092;0,093;0,094
